,idQueue,имя маски,репутация
,2248,all,new
,2217,new_gmail_id_428,new_id_428
,2216,new_gmail_id_853,new_id_853
,2215,new_gmail_id_12483,new_id_12483
,2214,new_gmail_id_4324,new_id_4324
,2181,new_gmail_id_9938,new_id_9938
,2180,new_gmail_id_12321,new_id_12321
,2179,new_gmail_id_12808,new_id_12808
,2178,new_gmail_id_7961,new_id_7961
,2177,new_gmail_id_14756,new_id_14756
,691,all,bad
,689,all,new
,656,microsoft,good
,615,microsoft,warm1
,582,microsoft,bad
,544,mail.ru,Amazonly
,528,All_China,new
,492,yandex.ru,warm1
,491,mail.ru,warm1
,490,QQ.com,new
,489,gmail.com,Amazonly
,488,yandex.ru,Amazonly
,487,mail.ru,Amazonly
,486,gmail.com,isolated
,485,yandex.ru,isolated
,484,mail.ru,isolated
,483,all,isolated
,448,all,Amazonly
,447,gmail.com,warm1
,446,all,test
,445,gmail.com,test
,444,yandex.ru,test
,443,mail.ru,test
,442,all,warm1
,409,Yahoo,good
,370,yandex.ru,bad
,293,all,good
,260,icloud.com,new
,259,gmail.com,bad
,258,mail.ru,bad
,257,all,bad
,107,gmail.com,good
,106,all,good
,105,yandex.ru,good
,104,mail.ru,good
,8,rambler.ru,new
,6,microsoft.com,new
,5,yahoo.com,new
,4,yandex.ru,new
,3,gmail.com,new
,2,mail.ru,new
,1,all,new